"Statistic Label","Year","Sex","NUTS 3 Regions","UNIT","VALUE"
"Median Annual Earnings","2011","Both sexes","Dublin","Euro","35825"
"Median Annual Earnings","2011","Both sexes","Mid-East","Euro","34352"
"Median Annual Earnings","2011","Both sexes","Mid-West","Euro","31997"
"Median Annual Earnings","2011","Both sexes","South-East","Euro","30792"
"Median Annual Earnings","2011","Both sexes","South-West","Euro","32287"
"Median Annual Earnings","2011","Male","State","Euro","37492"
"Median Annual Earnings","2011","Male","Border","Euro","31538"
"Median Annual Earnings","2011","Male","Midland","Euro","35624"
"Median Annual Earnings","2011","Male","West","Euro","34341"
"Median Annual Earnings","2011","Male","Dublin","Euro","40180"
"Median Annual Earnings","2011","Male","Mid-East","Euro","39719"
"Median Annual Earnings","2011","Male","Mid-West","Euro","36304"
"Median Annual Earnings","2011","Male","South-East","Euro","34985"
"Median Annual Earnings","2011","Male","South-West","Euro","37607"
"Median Annual Earnings","2011","Female","State","Euro","29189"
"Median Annual Earnings","2011","Female","Border","Euro","27271"
"Median Annual Earnings","2011","Female","Midland","Euro","28325"
"Median Annual Earnings","2011","Female","West","Euro","29039"
"Median Annual Earnings","2011","Female","Dublin","Euro","31690"
"Median Annual Earnings","2011","Female","Mid-East","Euro","29361"
"Median Annual Earnings","2011","Female","Mid-West","Euro","27987"
"Median Annual Earnings","2011","Female","South-East","Euro","26958"
"Median Annual Earnings","2011","Female","South-West","Euro","27733"
"Median Annual Earnings","2012","Both sexes","State","Euro","32900"
"Median Annual Earnings","2012","Both sexes","Border","Euro","29146"
"Median Annual Earnings","2012","Both sexes","Midland","Euro","31652"
"Median Annual Earnings","2012","Both sexes","West","Euro","31212"
"Median Annual Earnings","2012","Both sexes","Dublin","Euro","35550"
"Median Annual Earnings","2012","Both sexes","Mid-East","Euro","33819"
"Median Annual Earnings","2012","Both sexes","Mid-West","Euro","31921"
"Median Annual Earnings","2012","Both sexes","South-East","Euro","30487"
"Median Annual Earnings","2012","Both sexes","South-West","Euro","32214"
"Median Annual Earnings","2012","Male","State","Euro","36860"
"Median Annual Earnings","2012","Male","Border","Euro","31000"
"Median Annual Earnings","2012","Male","Midland","Euro","35000"
"Median Annual Earnings","2012","Male","West","Euro","33679"
"Median Annual Earnings","2012","Male","Dublin","Euro","39663"
"Median Annual Earnings","2012","Male","Mid-East","Euro","38687"
"Median Annual Earnings","2012","Male","Mid-West","Euro","35920"
"Median Annual Earnings","2012","Male","South-East","Euro","34247"
"Median Annual Earnings","2012","Male","South-West","Euro","37149"
"Median Annual Earnings","2012","Female","State","Euro","29189"
"Median Annual Earnings","2012","Female","Border","Euro","27353"
"Median Annual Earnings","2012","Female","Midland","Euro","28269"
"Median Annual Earnings","2012","Female","West","Euro","28896"
"Median Annual Earnings","2012","Female","Dublin","Euro","31716"
"Median Annual Earnings","2012","Female","Mid-East","Euro","29175"
"Median Annual Earnings","2012","Female","Mid-West","Euro","28027"
"Median Annual Earnings","2012","Female","South-East","Euro","26932"
"Median Annual Earnings","2012","Female","South-West","Euro","27821"
"Median Annual Earnings","2013","Both sexes","State","Euro","33059"
"Median Annual Earnings","2013","Both sexes","Border","Euro","29194"
"Median Annual Earnings","2013","Both sexes","Midland","Euro","31792"
"Median Annual Earnings","2013","Both sexes","West","Euro","31528"
"Median Annual Earnings","2013","Both sexes","Dublin","Euro","35704"
"Median Annual Earnings","2013","Both sexes","Mid-East","Euro","34080"
"Median Annual Earnings","2013","Both sexes","Mid-West","Euro","32056"
"Median Annual Earnings","2013","Both sexes","South-East","Euro","30645"
"Median Annual Earnings","2013","Both sexes","South-West","Euro","32422"
"Median Annual Earnings","2013","Male","State","Euro","36907"
"Median Annual Earnings","2013","Male","Border","Euro","30898"
"Median Annual Earnings","2013","Male","Midland","Euro","35000"
"Median Annual Earnings","2013","Male","West","Euro","33902"
"Median Annual Earnings","2013","Male","Dublin","Euro","39790"
"Median Annual Earnings","2013","Male","Mid-East","Euro","38730"
"Median Annual Earnings","2013","Male","Mid-West","Euro","35878"
"Median Annual Earnings","2013","Male","South-East","Euro","34162"
"Median Annual Earnings","2013","Male","South-West","Euro","37312"
"Median Annual Earnings","2013","Female","State","Euro","29526"
"Median Annual Earnings","2013","Female","Border","Euro","27500"
"Median Annual Earnings","2013","Female","Midland","Euro","28763"
"Median Annual Earnings","2013","Female","West","Euro","29248"
"Median Annual Earnings","2013","Female","Dublin","Euro","31959"
"Median Annual Earnings","2013","Female","Mid-East","Euro","29642"
"Median Annual Earnings","2013","Female","Mid-West","Euro","28410"
"Median Annual Earnings","2013","Female","South-East","Euro","27237"
"Median Annual Earnings","2013","Female","South-West","Euro","28108"
"Median Annual Earnings","2014","Both sexes","State","Euro","33323"
"Median Annual Earnings","2014","Both sexes","Border","Euro","29431"
"Median Annual Earnings","2014","Both sexes","Midland","Euro","32038"
"Median Annual Earnings","2014","Both sexes","West","Euro","31761"
"Median Annual Earnings","2014","Both sexes","Dublin","Euro","35909"
"Median Annual Earnings","2014","Both sexes","Mid-East","Euro","34250"
"Median Annual Earnings","2014","Both sexes","Mid-West","Euro","32496"
"Median Annual Earnings","2014","Both sexes","South-East","Euro","30797"
"Median Annual Earnings","2014","Both sexes","South-West","Euro","32819"
"Median Annual Earnings","2014","Male","State","Euro","36999"
"Median Annual Earnings","2014","Male","Border","Euro","30890"
"Median Annual Earnings","2014","Male","Midland","Euro","34949"
"Median Annual Earnings","2014","Male","West","Euro","34078"
"Median Annual Earnings","2014","Male","Dublin","Euro","40000"
"Median Annual Earnings","2014","Male","Mid-East","Euro","38724"
"Median Annual Earnings","2014","Male","Mid-West","Euro","36145"
"Median Annual Earnings","2014","Male","South-East","Euro","34041"
"Median Annual Earnings","2014","Male","South-West","Euro","37509"
"Median Annual Earnings","2014","Female","State","Euro","29857"
"Median Annual Earnings","2014","Female","Border","Euro","27884"
"Median Annual Earnings","2014","Female","Midland","Euro","29197"
"Median Annual Earnings","2014","Female","West","Euro","29596"
"Median Annual Earnings","2014","Female","Dublin","Euro","32175"
"Median Annual Earnings","2014","Female","Mid-East","Euro","29902"
"Median Annual Earnings","2014","Female","Mid-West","Euro","28912"
"Median Annual Earnings","2014","Female","South-East","Euro","27475"
"Median Annual Earnings","2014","Female","South-West","Euro","28600"
"Median Annual Earnings","2015","Both sexes","State","Euro","33688"
"Median Annual Earnings","2015","Both sexes","Border","Euro","29777"
"Median Annual Earnings","2015","Both sexes","Midland","Euro","32239"
"Median Annual Earnings","2015","Both sexes","West","Euro","32424"
"Median Annual Earnings","2015","Both sexes","Dublin","Euro","36203"
"Median Annual Earnings","2015","Both sexes","Mid-East","Euro","34583"
"Median Annual Earnings","2015","Both sexes","Mid-West","Euro","32814"
"Median Annual Earnings","2015","Both sexes","South-East","Euro","31020"
"Median Annual Earnings","2015","Both sexes","South-West","Euro","33291"
"Median Annual Earnings","2015","Male","State","Euro","37038"
"Median Annual Earnings","2015","Male","Border","Euro","31097"
"Median Annual Earnings","2015","Male","Midland","Euro","34822"
"Median Annual Earnings","2015","Male","West","Euro","34729"
"Median Annual Earnings","2015","Male","Dublin","Euro","40044"
"Median Annual Earnings","2015","Male","Mid-East","Euro","38642"
"Median Annual Earnings","2015","Male","Mid-West","Euro","36152"
"Median Annual Earnings","2015","Male","South-East","Euro","33800"
"Median Annual Earnings","2015","Male","South-West","Euro","37700"
"Median Annual Earnings","2015","Female","State","Euro","30272"
"Median Annual Earnings","2015","Female","Border","Euro","28277"
"Median Annual Earnings","2015","Female","Midland","Euro","29457"
"Median Annual Earnings","2015","Female","West","Euro","30168"
"Median Annual Earnings","2015","Female","Dublin","Euro","32566"
"Median Annual Earnings","2015","Female","Mid-East","Euro","30416"
"Median Annual Earnings","2015","Female","Mid-West","Euro","29351"
"Median Annual Earnings","2015","Female","South-East","Euro","27790"
"Median Annual Earnings","2015","Female","South-West","Euro","29079"
"Median Annual Earnings","2016","Both sexes","State","Euro","33912"
"Median Annual Earnings","2016","Both sexes","Border","Euro","29522"
"Median Annual Earnings","2016","Both sexes","Midland","Euro","32192"
"Median Annual Earnings","2016","Both sexes","West","Euro","32368"
"Median Annual Earnings","2016","Both sexes","Dublin","Euro","36891"
"Median Annual Earnings","2016","Both sexes","Mid-East","Euro","34873"
"Median Annual Earnings","2016","Both sexes","Mid-West","Euro","32584"
"Median Annual Earnings","2016","Both sexes","South-East","Euro","31071"
"Median Annual Earnings","2016","Both sexes","South-West","Euro","33372"
"Median Annual Earnings","2016","Male","State","Euro","37328"
"Median Annual Earnings","2016","Male","Border","Euro","31018"
"Median Annual Earnings","2016","Male","Midland","Euro","34789"
"Median Annual Earnings","2016","Male","West","Euro","34783"
"Median Annual Earnings","2016","Male","Dublin","Euro","40781"
"Median Annual Earnings","2016","Male","Mid-East","Euro","39095"
"Median Annual Earnings","2016","Male","Mid-West","Euro","36142"
"Median Annual Earnings","2016","Male","South-East","Euro","33904"
"Median Annual Earnings","2016","Male","South-West","Euro","37891"
"Median Annual Earnings","2016","Female","State","Euro","30507"
"Median Annual Earnings","2016","Female","Border","Euro","27691"
"Median Annual Earnings","2016","Female","Midland","Euro","29267"
"Median Annual Earnings","2016","Female","West","Euro","30001"
"Median Annual Earnings","2016","Female","Dublin","Euro","33416"
"Median Annual Earnings","2016","Female","Mid-East","Euro","30666"
"Median Annual Earnings","2016","Female","Mid-West","Euro","28925"
"Median Annual Earnings","2016","Female","South-East","Euro","27660"
"Median Annual Earnings","2016","Female","South-West","Euro","28911"
"Median Annual Earnings","2017","Both sexes","State","Euro","34658"
"Median Annual Earnings","2017","Both sexes","Border","Euro","29994"
"Median Annual Earnings","2017","Both sexes","Midland","Euro","32708"
"Median Annual Earnings","2017","Both sexes","West","Euro","33047"
"Median Annual Earnings","2017","Both sexes","Dublin","Euro","37946"
"Median Annual Earnings","2017","Both sexes","Mid-East","Euro","35590"
"Median Annual Earnings","2017","Both sexes","Mid-West","Euro","33183"
"Median Annual Earnings","2017","Both sexes","South-East","Euro","31716"
"Median Annual Earnings","2017","Both sexes","South-West","Euro","34022"
"Median Annual Earnings","2017","Male","State","Euro","37960"
"Median Annual Earnings","2017","Male","Border","Euro","31444"
"Median Annual Earnings","2017","Male","Midland","Euro","35103"
"Median Annual Earnings","2017","Male","West","Euro","35200"
"Median Annual Earnings","2017","Male","Dublin","Euro","41904"
"Median Annual Earnings","2017","Male","Mid-East","Euro","39719"
"Median Annual Earnings","2017","Male","Mid-West","Euro","36619"
"Median Annual Earnings","2017","Male","South-East","Euro","34489"
"Median Annual Earnings","2017","Male","South-West","Euro","38366"
"Median Annual Earnings","2017","Female","State","Euro","31153"
"Median Annual Earnings","2017","Female","Border","Euro","28000"
"Median Annual Earnings","2017","Female","Midland","Euro","29555"
"Median Annual Earnings","2017","Female","West","Euro","30644"
"Median Annual Earnings","2017","Female","Dublin","Euro","34365"
"Median Annual Earnings","2017","Female","Mid-East","Euro","31198"
"Median Annual Earnings","2017","Female","Mid-West","Euro","29406"
"Median Annual Earnings","2017","Female","South-East","Euro","28287"
"Median Annual Earnings","2017","Female","South-West","Euro","29599"
"Median Annual Earnings","2018","Both sexes","State","Euro","35786"
"Median Annual Earnings","2018","Both sexes","Border","Euro","30792"
"Median Annual Earnings","2018","Both sexes","Midland","Euro","33737"
"Median Annual Earnings","2018","Both sexes","West","Euro","34205"
"Median Annual Earnings","2018","Both sexes","Dublin","Euro","39198"
"Median Annual Earnings","2018","Both sexes","Mid-East","Euro","36673"
"Median Annual Earnings","2018","Both sexes","Mid-West","Euro","34287"
"Median Annual Earnings","2018","Both sexes","South-East","Euro","32886"
"Median Annual Earnings","2018","Both sexes","South-West","Euro","35356"
"Median Annual Earnings","2018","Male","State","Euro","39279"
"Median Annual Earnings","2018","Male","Border","Euro","32308"
"Median Annual Earnings","2018","Male","Midland","Euro","36274"
"Median Annual Earnings","2018","Male","West","Euro","36521"
"Median Annual Earnings","2018","Male","Dublin","Euro","43465"
"Median Annual Earnings","2018","Male","Mid-East","Euro","40935"
"Median Annual Earnings","2018","Male","Mid-West","Euro","37835"
"Median Annual Earnings","2018","Male","South-East","Euro","35695"
"Median Annual Earnings","2018","Male","South-West","Euro","40000"
"Median Annual Earnings","2018","Female","State","Euro","32014"
"Median Annual Earnings","2018","Female","Border","Euro","28744"
"Median Annual Earnings","2018","Female","Midland","Euro","30419"
"Median Annual Earnings","2018","Female","West","Euro","31603"
"Median Annual Earnings","2018","Female","Dublin","Euro","35350"
"Median Annual Earnings","2018","Female","Mid-East","Euro","31977"
"Median Annual Earnings","2018","Female","Mid-West","Euro","30537"
"Median Annual Earnings","2018","Female","South-East","Euro","29279"
"Median Annual Earnings","2018","Female","South-West","Euro","30584"
"Median Annual Earnings","2019","Both sexes","State","Euro","37001"
"Median Annual Earnings","2019","Both sexes","Border","Euro","31861"
"Median Annual Earnings","2019","Both sexes","Midland","Euro","34861"
"Median Annual Earnings","2019","Both sexes","West","Euro","35358"
"Median Annual Earnings","2019","Both sexes","Dublin","Euro","40552"
"Median Annual Earnings","2019","Both sexes","Mid-East","Euro","38000"
"Median Annual Earnings","2019","Both sexes","Mid-West","Euro","35240"
"Median Annual Earnings","2019","Both sexes","South-East","Euro","33800"
"Median Annual Earnings","2019","Both sexes","South-West","Euro","36422"
"Median Annual Earnings","2019","Male","State","Euro","40517"
"Median Annual Earnings","2019","Male","Border","Euro","33554"
"Median Annual Earnings","2019","Male","Midland","Euro","37663"
"Median Annual Earnings","2019","Male","West","Euro","37866"
"Median Annual Earnings","2019","Male","Dublin","Euro","45012"
"Median Annual Earnings","2019","Male","Mid-East","Euro","42409"
"Median Annual Earnings","2019","Male","Mid-West","Euro","38752"
"Median Annual Earnings","2019","Male","South-East","Euro","36788"
"Median Annual Earnings","2019","Male","South-West","Euro","40984"
"Median Annual Earnings","2019","Female","State","Euro","33056"
"Median Annual Earnings","2019","Female","Border","Euro","29785"
"Median Annual Earnings","2019","Female","Midland","Euro","31237"
"Median Annual Earnings","2019","Female","West","Euro","32681"
"Median Annual Earnings","2019","Female","Dublin","Euro","36564"
"Median Annual Earnings","2019","Female","Mid-East","Euro","33137"
"Median Annual Earnings","2019","Female","Mid-West","Euro","31348"
"Median Annual Earnings","2019","Female","South-East","Euro","30109"
"Median Annual Earnings","2019","Female","South-West","Euro","31548"
"Median Annual Earnings","2020","Both sexes","State","Euro","40579"
"Median Annual Earnings","2020","Both sexes","Border","Euro","36191"
"Median Annual Earnings","2020","Both sexes","Midland","Euro","38186"
"Median Annual Earnings","2020","Both sexes","West","Euro","38978"
"Median Annual Earnings","2020","Both sexes","Dublin","Euro","44327"
"Median Annual Earnings","2020","Both sexes","Mid-East","Euro","41243"
"Median Annual Earnings","2020","Both sexes","Mid-West","Euro","39043"
"Median Annual Earnings","2020","Both sexes","South-East","Euro","37353"
"Median Annual Earnings","2020","Both sexes","South-West","Euro","40530"
"Median Annual Earnings","2020","Male","State","Euro","44105"
"Median Annual Earnings","2020","Male","Border","Euro","37230"
"Median Annual Earnings","2020","Male","Midland","Euro","40362"
"Median Annual Earnings","2020","Male","West","Euro","40969"
"Median Annual Earnings","2020","Male","Dublin","Euro","48599"
"Median Annual Earnings","2020","Male","Mid-East","Euro","45647"
"Median Annual Earnings","2020","Male","Mid-West","Euro","42173"
"Median Annual Earnings","2020","Male","South-East","Euro","39743"
"Median Annual Earnings","2020","Male","South-West","Euro","45137"
"Median Annual Earnings","2020","Female","State","Euro","37462"
"Median Annual Earnings","2020","Female","Border","Euro","35103"
"Median Annual Earnings","2020","Female","Midland","Euro","35577"
"Median Annual Earnings","2020","Female","West","Euro","37109"
"Median Annual Earnings","2020","Female","Dublin","Euro","40055"
"Median Annual Earnings","2020","Female","Mid-East","Euro","37232"
"Median Annual Earnings","2020","Female","Mid-West","Euro","35999"
"Median Annual Earnings","2020","Female","South-East","Euro","34887"
"Median Annual Earnings","2020","Female","South-West","Euro","36192"
"Median Annual Earnings","2021","Both sexes","State","Euro","41222"
"Median Annual Earnings","2021","Both sexes","Border","Euro","36178"
"Median Annual Earnings","2021","Both sexes","Midland","Euro","38834"
"Median Annual Earnings","2021","Both sexes","West","Euro","39622"
"Median Annual Earnings","2021","Both sexes","Dublin","Euro","45386"
"Median Annual Earnings","2021","Both sexes","Mid-East","Euro","42083"
"Median Annual Earnings","2021","Both sexes","Mid-West","Euro","39510"
"Median Annual Earnings","2021","Both sexes","South-East","Euro","38255"
"Median Annual Earnings","2021","Both sexes","South-West","Euro","41000"
"Median Annual Earnings","2021","Male","State","Euro","44892"
"Median Annual Earnings","2021","Male","Border","Euro","37401"
"Median Annual Earnings","2021","Male","Midland","Euro","41047"
"Median Annual Earnings","2021","Male","West","Euro","41672"
"Median Annual Earnings","2021","Male","Dublin","Euro","49966"
"Median Annual Earnings","2021","Male","Mid-East","Euro","46683"
"Median Annual Earnings","2021","Male","Mid-West","Euro","42557"
"Median Annual Earnings","2021","Male","South-East","Euro","40970"
"Median Annual Earnings","2021","Male","South-West","Euro","45780"
"Median Annual Earnings","2021","Female","State","Euro","37894"
"Median Annual Earnings","2021","Female","Border","Euro","34866"
"Median Annual Earnings","2021","Female","Midland","Euro","35850"
"Median Annual Earnings","2021","Female","West","Euro","37390"
"Median Annual Earnings","2021","Female","Dublin","Euro","40943"
"Median Annual Earnings","2021","Female","Mid-East","Euro","37740"
"Median Annual Earnings","2021","Female","Mid-West","Euro","36142"
"Median Annual Earnings","2021","Female","South-East","Euro","35000"
"Median Annual Earnings","2021","Female","South-West","Euro","36503"
"Median Annual Earnings","2022","Both sexes","State","Euro","41823"
"Median Annual Earnings","2022","Both sexes","Border","Euro","35782"
"Median Annual Earnings","2022","Both sexes","Midland","Euro","39045"
"Median Annual Earnings","2022","Both sexes","West","Euro","39914"
"Median Annual Earnings","2022","Both sexes","Dublin","Euro","46136"
"Median Annual Earnings","2022","Both sexes","Mid-East","Euro","43126"
"Median Annual Earnings","2022","Both sexes","Mid-West","Euro","39769"
"Median Annual Earnings","2022","Both sexes","South-East","Euro","38226"
"Median Annual Earnings","2022","Both sexes","South-West","Euro","41494"
"Median Annual Earnings","2022","Male","State","Euro","45537"
"Median Annual Earnings","2022","Male","Border","Euro","37405"
"Median Annual Earnings","2022","Male","Midland","Euro","42009"
"Median Annual Earnings","2022","Male","West","Euro","42140"
"Median Annual Earnings","2022","Male","Dublin","Euro","50782"
"Median Annual Earnings","2022","Male","Mid-East","Euro","48083"
"Median Annual Earnings","2022","Male","Mid-West","Euro","42907"
"Median Annual Earnings","2022","Male","South-East","Euro","41474"
"Median Annual Earnings","2022","Male","South-West","Euro","46392"
"Median Annual Earnings","2022","Female","State","Euro","37782"
"Median Annual Earnings","2022","Female","Border","Euro","33899"
"Median Annual Earnings","2022","Female","Midland","Euro","35274"
"Median Annual Earnings","2022","Female","West","Euro","37189"
"Median Annual Earnings","2022","Female","Dublin","Euro","41585"
"Median Annual Earnings","2022","Female","Mid-East","Euro","37921"
"Median Annual Earnings","2022","Female","Mid-West","Euro","36203"
"Median Annual Earnings","2022","Female","South-East","Euro","34462"
"Median Annual Earnings","2022","Female","South-West","Euro","36331"
